West Hampstead Thameslink,51.548629,-0.192538
West Harrow,51.578924,-0.353847
West India Quay,51.506763,-0.020582
West Kensington,51.490109,-0.206204
West Norwood,51.431241,-0.103189
West Ruislip,51.569588,-0.43786
West Silvertown,51.502884,0.022246
West Sutton,51.36615,-0.204645
West Wickham,51.381284,-0.014576
Westbourne Park,51.520989,-0.200883
Westcombe Park,51.484509,0.017746
Westferry,51.509638,-0.026323
Westminster,51.501402,-0.125002
White City,51.512232,-0.224632
White Hart Lane,51.605035,-0.07087
Whitechapel,51.519588,-0.05942
Whitton,51.449588,-0.357682
Whyteleafe,51.309929,-0.081135
Whyteleafe South,51.30349,-0.076713
Willesden Green,51.549373,-0.222408
Willesden Junction,51.532234,-0.243909
Wimbledon,51.421108,-0.206663
Wimbledon Chase,51.409531,-0.21409
Wimbledon Park,51.434581,-0.199186
Winchmore Hill,51.633887,-0.100917
Wood Green,51.597454,-0.109527
Wood Lane,51.509658,-0.224473
Wood Street,51.58667,-0.001954
Woodford,51.607202,0.034056
Woodgrange Park,51.549053,0.044572
Woodmansterne,51.319019,-0.154262
Woodside,51.387098,-0.065347
Woodside Park,51.617868,-0.185426
Woolwich,51.491578,0.071819
Woolwich Arsenal,51.489907,0.069194
Woolwich Dockyard,51.491108,0.054612
Worcester Park,51.381104,-0.245575
